,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
99,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12723,Edward Mansfield,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
100,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12724,Federico Moreno,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
101,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12725,William Pryor,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
102,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12726,Margaret A. Ryan,0.02,0,0,0.98,2020-08-20T12:16:12.3582699,Open
103,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12727,Amul Thapar,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
104,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12728,Timothy Tymkovich,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
105,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12729,David Stras,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
106,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12730,Diane Sykes,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
107,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12731,Don Willett,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
108,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12732,Robert Young,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
109,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12733,Joan Larsen,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
110,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12734,Keith Blackwell,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
111,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12735,Lindsey Graham,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
112,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12736,Paul Clement,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
113,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12737,Kevin Newsom,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
114,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12740,Patrick Wyrick,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
